Company,Url,Signal,Joined,Location,Market,Website,Employees,Stage,Total Raised
HubSpot,https://angel.co/company/hubspot,,Dec ’12,San Francisco,Video Streaming,crunchyroll.com,51-200,,"$604,800,000"
Globant,https://angel.co/company/globant,,,,,,,,
Zoom,https://angel.co/company/zoom,Singapore,Location Based Services,factual.com,51-200,Closed,"$104,000,000",,Feb ’15
CareGuide,https://angel.co/company/careguide,,,,,,,,
Instacart,https://angel.co/company/instacart,energysavvy.com,51-200,,"$20,595,000",,Mar ’12,Woburn,Public Transportation
Routific,https://angel.co/company/routific,,,,,,,,
Cluster,https://angel.co/company/cluster,-,"$9,487,222",,May ’14,San Francisco,SaaS,fastly.com,1-10
7 Cups,https://angel.co/company/7-cups-of-tea,,,,,,,,
Say Media,https://angel.co/company/say-media,,Feb ’15,London,-,kobaltmusic.com,1-10,Series C,"$76,000,000"
Fullstack Academy,https://angel.co/company/fullstack-academy,,,,,,,,
PriceMatch,https://angel.co/company/pricematch,San Francisco,Email Newsletters,launch.co,11-50,,"$500,000",,Mar ’12
Spring,https://angel.co/company/spring-3,,,,,,,,
York IE SaaS Syndicate,https://angel.co/company/the-saas-syndicate,fluent.io,-,-,-,,Oct ’12,San Francisco,Crowdsourcing
Sweet,https://angel.co/company/save-with-sweet,,,,,,,,
eero,https://angel.co/company/eero,,-,,Nov ’13,London,Online Travel,quillcontent.com,11-50
CloudApp,https://angel.co/company/cloudapp,,,,,,,,
Diffbot,https://angel.co/company/diffbot,,Nov ’13,San Francisco,Web Tools,usepropeller.com,1-10,Acquired,"$1,250,000"
PagerDuty,https://angel.co/company/pagerduty,,,,,,,,
YouTube,https://angel.co/company/youtube,San Francisco,Enterprise Software,sapho.com,11-50,Acquired,"$227,850,000",,Oct ’14
Meetup,https://angel.co/company/meetup,,,,,,,,
VMware,https://angel.co/company/vmware,mileiq.com,51-200,Acquired,"$14,000,000",,Sep ’15,San Francisco,Wireless Charging
The New York Times,https://angel.co/company/new-york-times,,,,,,,,
Work Market,https://angel.co/company/work-market,-,-,,May ’16,Palo Alto,Computer Vision,pilot.ai,11-50
Good Eggs,https://angel.co/company/good-eggs,,,,,,,,
Zillionize,https://angel.co/company/zillionize,,Mar ’11,San Francisco,iPhone,getsplash.com,,,"$6,000,000"
Blue Apron,https://angel.co/company/blue-apron,,,,,,,,
KeyMe,https://angel.co/company/keyme,San Francisco,Messaging,nexmo.com,51-200,Acquired,"$251,830,000",,Oct ’11
True Link,https://angel.co/company/true-link,,,,,,,,
LogDNA,https://angel.co/company/logdna,tilt.com,51-200,Acquired,"$37,100,000",,Nov ’11,Kansas City,Home Renovation
IrisVR,https://angel.co/company/irisvr,,,,,,,,
Mixmax,https://angel.co/company/mixmax,Series A,"$15,150,000",,Dec ’14,Reston,Politics,resonate.com,51-200
Datawire.io,https://angel.co/company/datawire-io,,,,,,,,
Niantic,https://angel.co/company/niantic,,Apr ’14,San Francisco,Messaging,tokbox.com,51-200,Acquired,"$26,000,000"
Juniper Square,https://angel.co/company/juniper-square,,,,,,,,
Simon Data,https://angel.co/company/simon-data,Menlo Park,Venture Capital,trinityventures.com,-,-,-,,Jan ’13
SV Liquidity,https://angel.co/company/hf-liquidity,,,,,,,,
Whisk,https://angel.co/company/whisk-3,lightbank.com,,-,-,,Dec ’13,London,Finance Technology
